λ (nm),α (cm^-1)
259.34,6967324.056833493
259.4,6970914.696508931
259.46,6974505.336184369
259.52,6978095.975859808
259.58,6981686.615535246
259.64,6985277.255210685
259.7,6988867.894886123
259.76,6992458.5345615605
259.82,6996049.174236999
259.88,6999639.813912437
259.94,7003230.453587876
260.0,7006821.093263313
260.06,7010079.56904525
260.12,7013338.044827186
260.18,7016596.520609122
260.24,7019854.996391058
260.3,7023113.472172995
260.36,7026371.94795493
260.42,7029630.423736867
260.48,7032888.899518804
260.54,7036147.37530074
260.6,7039405.851082675
260.65999999999997,7042664.326864609
260.72,7045922.8026465485
260.78,7049181.278428481
260.84,7052439.754210416
260.9,7055698.229992353
260.96,7058956.70577429
261.02,7062111.410899929
261.08,7065058.574712973
261.14,7068005.738526018
261.2,7070952.902339064
261.26,7073900.066152109
261.32,7076847.229965154
261.38,7079794.393778199
261.44,7082741.5575912455
261.5,7085688.721404291
261.56,7088635.885217336
261.62,7091583.049030381
261.68,7094530.2128434265
261.74,7097477.376656472
261.8,7100424.540469517
261.86,7103371.704282561
261.92,7106318.868095607
261.98,7109266.031908652
