λ (nm),Ts
273.38,0.805904
273.44,0.805952
273.5,0.806
273.56,0.806048
273.62,0.806096
273.68,0.806144
273.74,0.806192
273.8,0.80624
273.86,0.806288
273.92,0.806336
273.98,0.806384
274.03999999999996,0.8064319999999999
274.1,0.80648
274.15999999999997,0.806528
274.22,0.8065760000000001
274.28,0.806624
274.34000000000003,0.8066720000000001
274.4,0.80672
274.46,0.806768
274.52,0.806816
274.58,0.806864
274.64,0.806912
274.7,0.80696
274.76,0.8070080000000001
274.82,0.807056
274.88,0.807104
274.94,0.807152
275.0,0.8072
275.06,0.8072480000000001
275.12,0.807296
275.18,0.8073440000000001
275.24,0.807392
275.3,0.80744
275.36,0.807488
275.42,0.807536
275.48,0.807584
275.53999999999996,0.8076319999999999
275.6,0.80768
275.65999999999997,0.8077279999999999
275.72,0.8077759999999999
275.78,0.807824
275.84000000000003,0.807872
275.9,0.80792
275.96,0.8079679999999999
276.02,0.8080139999999999
276.08,0.8080559999999999
276.14,0.808098
276.2,0.80814
276.26,0.808182
276.32,0.8082239999999999
276.38,0.808266
276.44,0.808308
276.5,0.80835
276.56,0.808392
276.62,0.808434
276.68,0.8084760000000001
276.74,0.8085180000000001
276.8,0.8085600000000001
276.86,0.808602
276.92,0.8086440000000001
276.98,0.8086860000000001
277.03999999999996,0.808728
277.1,0.8087700000000001
277.15999999999997,0.8088120000000001
277.22,0.8088540000000001
277.28,0.8088960000000001
277.34000000000003,0.808938
277.4,0.80898
277.46,0.809022
277.52,0.809064
277.58,0.809106
277.64,0.809148
277.7,0.8091900000000001
277.76,0.8092320000000001
277.82,0.809274
277.88,0.809316
277.94,0.809358
278.0,0.8094
278.06,0.809442
278.12,0.809484
278.18,0.809526
278.24,0.8095680000000001
278.3,0.80961
278.36,0.809652
278.42,0.809694
278.48,0.809736
278.53999999999996,0.809778
278.6,0.8098200000000001
278.65999999999997,0.809862
278.72,0.8099040000000001
278.78,0.809946
278.84000000000003,0.809988
278.9,0.81003
278.96,0.810072
279.02,0.810114
279.08,0.810156
279.14,0.810198
279.2,0.8102400000000001
279.26,0.8102820000000001
